City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
Merida,uberX,COMPLETED,2017-12-21 01:11:43 +0000 UTC,2017-12-21 01:19:53 +0000 UTC,2017-12-21 01:34:21 +0000 UTC,2.73,50.99,MXN
Merida,uberX,COMPLETED,2017-12-17 10:50:41 +0000 UTC,2017-12-17 10:52:05 +0000 UTC,2017-12-17 11:13:13 +0000 UTC,6.19,85.83,MXN
Merida,uberX,COMPLETED,2017-12-10 09:54:12 +0000 UTC,2017-12-10 09:56:41 +0000 UTC,2017-12-10 10:13:47 +0000 UTC,6.32,80.61,MXN
Merida,uberX,COMPLETED,2017-12-09 18:42:58 +0000 UTC,2017-12-09 18:47:32 +0000 UTC,2017-12-09 18:57:11 +0000 UTC,2.54,34.55,MXN
Merida,uberX,COMPLETED,2017-12-09 09:41:20 +0000 UTC,2017-12-09 09:47:46 +0000 UTC,2017-12-09 10:00:50 +0000 UTC,7.33,88.37,MXN
Merida,uberX,COMPLETED,2017-12-09 02:34:48 +0000 UTC,2017-12-09 02:38:54 +0000 UTC,2017-12-09 02:56:01 +0000 UTC,3.72,70.4,MXN
Merida,uberX,COMPLETED,2017-11-29 22:39:09 +0000 UTC,2017-11-29 22:42:53 +0000 UTC,2017-11-29 23:02:18 +0000 UTC,4.07,61.35,MXN
Merida,uberX,COMPLETED,2017-10-30 00:25:43 +0000 UTC,2017-10-30 00:29:31 +0000 UTC,2017-10-30 00:34:06 +0000 UTC,1.33,24.67,MXN
Merida,uberX,COMPLETED,2017-10-28 16:24:13 +0000 UTC,2017-10-28 16:28:20 +0000 UTC,2017-10-28 16:37:22 +0000 UTC,2.61,37.42,MXN
Merida,uberX,COMPLETED,2017-09-09 06:03:30 +0000 UTC,2017-09-09 06:05:46 +0000 UTC,2017-09-09 06:32:34 +0000 UTC,11.26,123.05,MXN
Merida,uberX,COMPLETED,2017-09-09 01:49:53 +0000 UTC,2017-09-09 01:52:12 +0000 UTC,2017-09-09 02:22:30 +0000 UTC,7.67,105.9,MXN
Merida,uberX,COMPLETED,2017-09-02 02:38:10 +0000 UTC,2017-09-02 02:44:30 +0000 UTC,2017-09-02 02:57:34 +0000 UTC,2.83,45.47,MXN
Merida,uberX,COMPLETED,2017-09-02 00:45:39 +0000 UTC,2017-09-02 00:51:19 +0000 UTC,2017-09-02 01:02:47 +0000 UTC,1.45,59.33,MXN
Merida,uberX,COMPLETED,2017-09-01 06:44:50 +0000 UTC,2017-09-01 06:49:17 +0000 UTC,2017-09-01 06:55:39 +0000 UTC,1.92,29.2,MXN
Merida,uberX,COMPLETED,2017-07-30 07:18:53 +0000 UTC,2017-07-30 07:29:23 +0000 UTC,2017-07-30 07:46:32 +0000 UTC,6.63,69.55,MXN
Merida,uberX,COMPLETED,2017-07-21 05:22:20 +0000 UTC,2017-07-21 05:24:04 +0000 UTC,2017-07-21 05:35:24 +0000 UTC,4.29,52.82,MXN
Merida,uberX,COMPLETED,2017-07-07 04:36:28 +0000 UTC,2017-07-07 04:42:38 +0000 UTC,2017-07-07 04:56:46 +0000 UTC,4.56,56.66,MXN
Merida,uberX,COMPLETED,2017-07-07 00:57:19 +0000 UTC,2017-07-07 01:05:58 +0000 UTC,2017-07-07 01:30:08 +0000 UTC,4.73,64.05,MXN
Merida,uberX,COMPLETED,2017-07-04 05:11:10 +0000 UTC,2017-07-04 05:18:44 +0000 UTC,2017-07-04 05:32:38 +0000 UTC,4.25,71.26,MXN
Merida,uberX,COMPLETED,2017-07-04 00:13:40 +0000 UTC,2017-07-04 00:15:50 +0000 UTC,2017-07-04 00:20:00 +0000 UTC,0.8,21.5,MXN
Merida,uberX,COMPLETED,2017-06-20 05:56:01 +0000 UTC,2017-06-20 06:03:47 +0000 UTC,2017-06-20 06:08:25 +0000 UTC,0.92,21.5,MXN
Merida,uberX,COMPLETED,2017-06-10 06:20:43 +0000 UTC,2017-06-10 06:23:40 +0000 UTC,2017-06-10 06:38:25 +0000 UTC,7.31,70.08,MXN
Merida,uberX,COMPLETED,2017-05-29 07:08:59 +0000 UTC,2017-05-29 07:14:43 +0000 UTC,2017-05-29 07:18:46 +0000 UTC,1.19,21.5,MXN
Merida,uberX,COMPLETED,2017-05-21 06:35:47 +0000 UTC,2017-05-21 06:44:23 +0000 UTC,2017-05-21 06:51:32 +0000 UTC,2.72,31.38,MXN
Merida,uberX,COMPLETED,2017-05-18 19:53:37 +0000 UTC,2017-05-18 19:57:26 +0000 UTC,2017-05-18 20:02:30 +0000 UTC,1.39,30.43,MXN
Merida,uberX,COMPLETED,2017-05-18 18:21:29 +0000 UTC,2017-05-18 18:25:20 +0000 UTC,2017-05-18 18:32:23 +0000 UTC,1.48,24.19,MXN
Merida,uberX,COMPLETED,2017-04-04 23:51:39 +0000 UTC,2017-04-04 23:58:11 +0000 UTC,2017-04-05 00:13:24 +0000 UTC,3.86,47.83,MXN
Merida,uberX,COMPLETED,2017-04-01 07:46:28 +0000 UTC,2017-04-01 07:48:17 +0000 UTC,2017-04-01 07:58:41 +0000 UTC,3.01,34.39,MXN
Merida,uberX,COMPLETED,2017-02-08 03:44:09 +0000 UTC,2017-02-08 03:49:57 +0000 UTC,2017-02-08 04:04:30 +0000 UTC,5.73,54.58,MXN
Merida,uberX,COMPLETED,2017-01-28 11:54:26 +0000 UTC,2017-01-28 12:00:58 +0000 UTC,2017-01-28 12:14:02 +0000 UTC,3.29,36.75,MXN
Merida,uberX,COMPLETED,2017-01-28 02:51:59 +0000 UTC,2017-01-28 02:55:40 +0000 UTC,2017-01-28 03:10:41 +0000 UTC,4.1,50.96,MXN
Merida,uberX,COMPLETED,2016-12-27 07:51:44 +0000 UTC,2016-12-27 07:56:19 +0000 UTC,2016-12-27 08:18:55 +0000 UTC,6.96,76.44,MXN
Merida,uberX,COMPLETED,2016-09-28 00:56:57 +0000 UTC,2016-09-28 01:04:01 +0000 UTC,2016-09-28 01:21:21 +0000 UTC,5.23,88.25,MXN
