Genes	logFC	PValue	FDR
6_308	-3.59075801852212	7.32500985822303e-16	6.36607184566313e-14
136_32	-4.9485216245745	8.05455242562967e-16	6.97118184110799e-14
102_24	-4.1459294785538	8.31608777332214e-16	7.16792009926881e-14
44_12	-5.04778339292377	9.1560686442641e-16	7.8595843341849e-14
49_51	3.44609398443649	9.23184106857062e-16	7.89228208902904e-14
8_188	6.67670924831969	9.28430968114963e-16	7.90487261266988e-14
47_65	-3.5807840924915	1.02921833499871e-15	8.72752146823807e-14
78_34	-3.47240040506471	1.16747483984068e-15	9.85998408083191e-14
274_1	-6.85344285632403	1.43182524574951e-15	1.2044007940652e-13
92_75	-3.92072321831899	1.71614450608997e-15	1.43778586720218e-13
21_181	-3.26109203601235	1.74514807518486e-15	1.45626001732059e-13
25_119	-5.45447393148718	1.81622845759613e-15	1.50955972398218e-13
37_189	-3.83715998804481	1.97214362886597e-15	1.63266989354141e-13
95_62	-3.56242921030276	2.11940940890252e-15	1.74767834919147e-13
1_38	-5.29188884931021	2.20178512035426e-15	1.80848585669882e-13
26_98	-3.59631025601683	2.36182831330062e-15	1.93236304773756e-13
3387_2	3.90273695178265	2.67737861257031e-15	2.18201148016673e-13
13_146	-3.24639251781559	2.83561071659217e-15	2.30201032786911e-13
72_37	-3.45947840726683	2.89515164481949e-15	2.34127224713298e-13
42_28	3.4404725371368	3.28210819727082e-15	2.64399062276298e-13
92_120	-3.53428543221175	3.34585486577812e-15	2.68501648136869e-13
26_31	-3.26618505782037	3.64900930756146e-15	2.91711831858301e-13
217_10	3.52589939067605	3.78546939259371e-15	3.01470176531845e-13
19_185	-4.3816862880361	3.91642653597132e-15	3.10718006802725e-13
16_141	-4.77170012000533	4.19224032483108e-15	3.31345183409762e-13
97_79	3.5883433077579	4.36411806881696e-15	3.43633281772072e-13
77_70	-4.3090211593007	4.53955866014747e-15	3.56108824482355e-13
3019_1	-3.72972693577249	5.6066521699678e-15	4.38176603358118e-13
119_56	-3.58005336426978	6.5708839960823e-15	5.11625149806483e-13
25_79	-3.79181534947884	6.89523703136027e-15	5.3489162822904e-13
17_10	-5.12842614870815	7.23311009519804e-15	5.59031331896394e-13
23_120	-3.23144551336651	9.01872015827858e-15	6.94474609246856e-13
77_1	-3.93381178001177	9.21506184198394e-15	7.06994396631332e-13
7_35	-4.112807709747	1.04013690769901e-14	7.95097355173569e-13
55_92	-3.2628892641108	1.18476279515999e-14	9.02358427077305e-13
80_26	-3.21367485845167	1.20010020684147e-14	9.10728218561397e-13
27_60	-3.72512692777926	1.34142032202238e-14	1.01429778500934e-12
2471_2	-3.78180960211188	1.46698728353962e-14	1.10525354869559e-12
12_147	-3.19918304279724	1.61974400440818e-14	1.21596911011933e-12
327_9	3.68266728248954	1.75258782139871e-14	1.31099828282843e-12
107_90	-3.23631968653517	2.00787667888127e-14	1.4966183999704e-12
209_18	-3.12393010183918	2.05567556655832e-14	1.52681293409802e-12
73_90	-2.96243591901364	2.15824750769181e-14	1.59733194518039e-12
